fold,accuracy,precision,recall,f1_score
1,0.5277777777777778,0.546875,0.5343511450381679,0.5405405405405406
2,0.5,0.55625,0.6180555555555556,0.5855263157894737
3,0.5238095238095238,0.5352941176470588,0.6893939393939394,0.6026490066225166
4,0.5873015873015873,0.6385542168674698,0.7066666666666667,0.6708860759493671
5,0.5912698412698413,0.5903083700440529,0.9305555555555556,0.7223719676549866
6,0.5714285714285714,0.573170731707317,0.9791666666666666,0.7230769230769231
