,predictions,attention_mean
2022-08-15,0.44573998,0.14285716
2022-08-16,0.44441628,0.14285713
2022-08-17,0.43410623,0.14285715
2022-08-18,0.4345202,0.14285716
2022-08-19,0.43068472,0.14285715
2022-08-22,0.42902398,0.14285715
2022-08-23,0.44680074,0.14285715
2022-08-24,0.4547984,0.14285713
2022-08-25,0.47439632,0.14285715
2022-08-26,0.49409938,0.14285715
2022-08-29,0.5050813,0.14285713
2022-08-30,0.51773345,0.14285715
2022-08-31,0.52480614,0.14285712
2022-09-01,0.5272799,0.14285715
2022-09-02,0.53407025,0.14285716
2022-09-06,0.54225636,0.14285715
2022-09-07,0.55441546,0.14285715
2022-09-08,0.55299366,0.14285715
2022-09-09,0.5537021,0.14285715
2022-09-12,0.5485149,0.14285715
2022-09-13,0.53422326,0.14285712
2022-09-14,0.5282956,0.14285715
2022-09-15,0.5377801,0.14285716
2022-09-16,0.5218329,0.14285715
2022-09-19,0.5192589,0.14285715
2022-09-20,0.52739465,0.14285715
2022-09-21,0.5299271,0.14285715
2022-09-22,0.54824287,0.14285715
2022-09-23,0.5417269,0.14285715
2022-09-26,0.5349046,0.14285713
2022-09-27,0.5358074,0.14285715
2022-09-28,0.54226804,0.14285713
2022-09-29,0.5388451,0.14285715
2022-09-30,0.55053335,0.14285713
2022-10-03,0.53692394,0.14285716
2022-10-04,0.5323536,0.14285716
2022-10-05,0.5238181,0.14285715
2022-10-06,0.510349,0.14285715
2022-10-07,0.50215024,0.14285713
2022-10-10,0.5045785,0.14285713
2022-10-11,0.50106287,0.14285715
2022-10-12,0.50615716,0.14285715
2022-10-13,0.52234656,0.14285715
2022-10-14,0.5410343,0.14285715
2022-10-17,0.5400288,0.14285713
2022-10-18,0.5462942,0.14285715
2022-10-19,0.53804135,0.14285716
2022-10-20,0.51005614,0.14285715
2022-10-21,0.4908777,0.14285715
2022-10-24,0.472815,0.14285713
2022-10-25,0.4738029,0.14285715
2022-10-26,0.4792274,0.14285715
2022-10-27,0.4697861,0.14285715
2022-10-28,0.48152995,0.14285712
2022-10-31,0.4781657,0.14285715
2022-11-01,0.4665033,0.14285715
2022-11-02,0.47576463,0.14285715
2022-11-03,0.48049134,0.14285715
2022-11-04,0.48603803,0.14285713
2022-11-07,0.49790466,0.14285713
2022-11-08,0.49796212,0.14285715
2022-11-09,0.4965728,0.14285715
2022-11-10,0.5075789,0.14285715
2022-11-11,0.49499744,0.14285715
2022-11-14,0.48234817,0.14285715
2022-11-15,0.46706453,0.14285713
2022-11-16,0.44419798,0.14285715
2022-11-17,0.44292244,0.14285715
2022-11-18,0.44822142,0.14285715
2022-11-21,0.45328107,0.14285715
2022-11-22,0.4571829,0.14285715
2022-11-23,0.48684883,0.14285715
2022-11-25,0.4852609,0.14285715
2022-11-28,0.48511767,0.14285715
2022-11-29,0.50055104,0.14285716
2022-11-30,0.48020637,0.14285715
2022-12-01,0.46978623,0.14285713
2022-12-02,0.46579352,0.14285715
2022-12-05,0.45958206,0.14285716
2022-12-06,0.4696675,0.14285715
2022-12-07,0.46731037,0.14285713
2022-12-08,0.4659571,0.14285715
2022-12-09,0.46237502,0.14285715
2022-12-12,0.4911524,0.14285715
2022-12-13,0.5073965,0.14285716
2022-12-14,0.5080739,0.14285715
2022-12-15,0.5137172,0.14285715
2022-12-16,0.5104065,0.14285713
2022-12-19,0.49447942,0.14285715
2022-12-20,0.49954027,0.14285715
2022-12-21,0.5018422,0.14285715
