fold,accuracy,precision,recall,f1_score
1,0.5357142857142857,0.5492957746478874,0.5954198473282443,0.5714285714285714
2,0.48412698412698413,0.559322033898305,0.4583333333333333,0.5038167938931297
3,0.49603174603174605,0.5151515151515151,0.6439393939393939,0.5723905723905723
4,0.5952380952380952,0.5952380952380952,1.0,0.746268656716418
5,0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273
6,0.5714285714285714,0.5714285714285714,1.0,0.7272727272727273
