fold,accuracy,precision,recall,f1_score
1,0.5079365079365079,0.5238095238095238,0.5877862595419847,0.5539568345323741
2,0.4444444444444444,0.75,0.041666666666666664,0.07894736842105263
3,0.48412698412698413,0.5047169811320755,0.8106060606060606,0.622093023255814
4,0.5793650793650794,0.592436974789916,0.94,0.7268041237113402
5,0.5912698412698413,0.582995951417004,1.0,0.7365728900255755
6,0.5833333333333334,0.5789473684210527,0.9930555555555556,0.731457800511509
